source,target,value
Mod_dptools,Misc._Dialplan_Tools_transfer,1
Mod_dptools,Misc._Dialplan_Tools_hangup,1
Mod_dptools,Play_fsv,1
Mod_dptools,Event_socket_outbound,1
Mod_dptools,Misc._Dialplan_Tools_group,1
Mod_dptools,Mod_lua,1
Mod_dptools,Misc._Dialplan_Tools_capture,1
Mod_dptools,Misc._Dialplan_Tools_stop_displace,1
Mod_dptools,Misc._Dialplan_Tools_three_way,1
Mod_dptools,Misc._Dialplan_Tools_media_reset,1
Mod_dptools,Misc._Dialplan_Tools_remove_bugs,1
Mod_dptools,Misc._Dialplan_Tools_unbind_meta_app,1
Mod_dptools,Misc._Dialplan_Tools_eavesdrop,1
Mod_dptools,Misc._Dialplan_Tools_clear_digit_action,1
Mod_dptools,Mod_voicemail_ivr,1
Mod_dptools,Misc._Dialplan_Tools_chat,1
Mod_dptools,Conference_set_auto_outcall,1
Mod_dptools,Misc._Dialplan_Tools_strftime,1
Mod_dptools,Misc._Dialplan_Tools_set_global,1
Mod_dptools,Misc._Dialplan_Tools_valet_park,1
Mod_dptools,Misc._Dialplan_Tools_bridge_export,1
Mod_dptools,Misc._Dialplan_Tools_park,1
Mod_dptools,Misc._Dialplan_Tools_break,1
Mod_dptools,Misc._Dialplan_Tools_intercept,1
Mod_dptools,Misc._Dialplan_Tools_answer,1
Mod_dptools,Misc._Dialplan_Tools_rename,1
Mod_dptools,Misc._Dialplan_Tools_tone_detect,1
Mod_dptools,Javascript,1
Mod_dptools,Misc._Dialplan_Tools_ring_ready,1
Mod_dptools,Misc._Dialplan_Tools_pre_answer,1
Mod_dptools,Misc._Dialplan_Tools_record,1
Mod_dptools,Misc._Dialplan_Tools_wait_for_answer,1
Mod_dptools,Misc._Dialplan_Tools_execute_extension,1
Mod_dptools,Misc._Dialplan_Tools_regex,1
Mod_dptools,Misc._Dialplan_Tools_detect_speech,1
Mod_dptools,Misc._Dialplan_Tools_set,1
Mod_dptools,Mod_hash,1
Mod_dptools,Misc._Dialplan_Tools_pickup,1
Mod_dptools,Misc._Dialplan_Tools_read,1
Mod_dptools,Misc._Dialplan_Tools_phrase,1
Mod_dptools,Misc._Dialplan_Tools_respond,1
Mod_dptools,Misc._Dialplan_Tools_play_and_detect_speech,1
